Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,774.5,800.5,768.25,797.25,797.25,73027
2021-11-02,798.5,807.0,789.75,791.5,791.5,65894
2021-11-03,790.5,796.75,777.5,781.0,781.0,53180
2021-11-04,782.0,794.25,772.25,773.75,773.75,51270
2021-11-05,774.75,781.5,765.5,766.5,766.5,83637
2021-11-08,768.25,773.0,762.5,768.0,768.0,75813
2021-11-09,769.25,783.25,764.5,778.5,778.5,81300
2021-11-10,783.0,803.75,778.0,803.0,803.0,85821
2021-11-11,803.0,824.75,798.25,812.5,812.5,107495
2021-11-12,814.25,826.75,805.5,817.0,817.0,63147
2021-11-15,819.75,829.5,813.25,826.25,826.25,57377
2021-11-16,827.5,827.5,810.0,810.25,810.25,58357
2021-11-17,812.0,835.0,810.5,822.25,822.25,63821
2021-11-18,824.25,843.25,819.25,820.0,820.0,63590
2021-11-19,821.0,830.75,813.5,823.0,823.0,42696
2021-11-22,827.5,848.5,826.0,845.75,845.75,40429
2021-11-23,846.5,856.5,838.25,856.0,856.0,29297
2021-11-24,856.5,863.25,833.5,836.75,836.75,46267
2021-11-26,821.25,830.5,810.0,825.5,825.5,29473
2021-11-29,837.75,840.5,805.0,807.5,807.5,20037
2021-11-30,808.25,808.25,770.5,773.75,773.75,2662
2021-12-01,784.0,785.5,774.75,778.5,778.5,484
2021-12-02,779.5,809.25,779.5,806.5,806.5,192
2021-12-03,809.5,814.75,794.5,794.5,794.5,102
2021-12-06,799.75,799.75,784.5,797.0,797.0,66
2021-12-07,811.0,812.0,796.0,799.25,799.25,74
2021-12-08,799.25,800.0,787.75,791.25,791.25,42
2021-12-09,793.5,793.5,773.5,773.5,773.5,64
2021-12-10,769.25,783.25,769.0,782.0,782.0,30
2021-12-13,779.25,791.0,779.25,785.5,785.5,69
2021-12-14,785.5,785.5,785.5,785.5,785.5,34152
2021-12-15,787.0,787.0,751.0,756.0,756.0,77464
2021-12-16,757.5,773.0,751.25,770.5,770.5,50771
2021-12-17,770.0,780.25,765.25,775.0,775.0,38053
2021-12-20,777.5,778.75,757.75,777.75,777.75,38677
2021-12-21,778.5,799.75,772.5,799.0,799.0,46149
2021-12-22,796.75,817.0,792.0,814.0,814.0,48743
2021-12-23,812.5,820.5,808.25,814.75,814.75,36615
2021-12-27,817.5,824.0,802.5,804.0,804.0,30210
2021-12-28,805.75,808.0,781.75,783.5,783.5,41877
2021-12-29,785.25,793.0,774.0,787.75,787.75,40941
2021-12-30,789.5,791.75,776.0,779.75,779.75,29563
2021-12-31,782.5,787.75,769.5,770.75,770.75,25055
2022-01-03,774.0,782.25,752.75,758.0,758.0,42116
2022-01-04,758.0,771.5,756.25,770.0,770.0,43220
2022-01-05,771.0,771.5,756.0,760.75,760.75,40236
2022-01-06,761.75,762.0,736.0,746.0,746.0,64426
2022-01-07,748.0,760.75,735.5,758.5,758.5,58463
2022-01-10,760.75,767.5,748.0,762.0,762.0,46681
2022-01-11,761.75,770.5,758.25,770.25,770.25,43837
2022-01-12,768.0,770.0,753.5,757.75,757.75,51640
2022-01-13,757.0,757.75,741.0,746.75,746.75,49455
2022-01-14,746.0,747.25,737.0,741.5,741.5,44592
2022-01-18,742.25,771.5,741.25,769.0,769.0,70559
2022-01-19,772.0,797.25,769.5,796.5,796.5,68427
2022-01-20,794.0,802.75,783.75,790.25,790.25,58576
2022-01-21,788.0,791.0,778.0,780.0,780.0,47700
2022-01-24,794.0,802.5,775.75,800.5,800.5,58617
2022-01-25,801.0,831.5,800.5,818.0,818.0,76139
2022-01-26,817.25,817.5,787.0,795.0,795.0,73390
2022-01-27,794.25,795.5,774.0,777.0,777.0,60147
2022-01-28,777.25,793.5,774.75,786.25,786.25,49080
2022-01-31,793.0,798.5,756.75,761.25,761.25,71473
2022-02-01,762.5,776.75,760.5,769.0,769.0,52159
2022-02-02,770.0,778.5,749.25,755.0,755.0,67578
2022-02-03,754.0,756.5,740.0,751.75,751.75,52592
2022-02-04,754.75,767.25,748.25,763.25,763.25,50585
2022-02-07,776.0,776.5,760.0,768.75,768.75,81449
2022-02-08,771.25,782.0,754.0,778.75,778.75,99517
2022-02-09,779.5,788.25,770.5,785.0,785.0,100108
2022-02-10,785.5,801.75,765.75,771.5,771.5,95102
2022-02-11,770.25,806.25,764.75,797.75,797.75,101599
2022-02-14,801.5,813.5,780.75,799.25,799.25,69676
